feat,/fit/,noun,"C2 something difficult needing a lot of skill, strength, courage, etc. to achieve it",The Eiffel Tower is a remarkable feat of engineering.,"accomplishment, adventure, deed, exploit, performance"
coalescing,/koʊ.əˈles/,verb,present participle of coalesce ,,"application, assembly, centering, centralization, clustering"
cleave,/kliv/,verb,"to separate or divide, or cause something to separate or divide, often violently","With one blow of the knight's axe, he clove the rock in twain (= into two pieces).","carve, chop, crack, cut, dissect"
precipitate,"/priˈsɪp·ə·t̬ɪt, -əˌteɪt/",verb,[ T ] formal to make something happen suddenly or sooner than expected,An invasion would certainly precipitate a political crisis.,"advance, cast, discharge, dispatch, fling"
intensification,/ɪnˌten.sə.fəˈkeɪ.ʃən/,noun,"the fact of becoming greater, more serious, or more extreme, or of making something do this",Home sales could be threatened by the sudden intensification of the financial crisis last month.,"accession, addition, agglomeration, aggrandizement, augmentation"
versatile,/ˌvɜr·səˈtɪl·ɪ·t̬i/,adjective,C2 able to change easily from one activity to another or able to be used for many different purposes,He's a very versatile young actor who's as happy in highbrow dramas as he is in TV comedies.,"able, adroit, all-purpose, ambidextrous, conversant"
supplanted,/səˈplænt/,verb,past simple and past participle of supplant ,Printed books will soon be supplanted by e-books.,"bounce, crowd, eject, expel, force"
fungus,"/ˈfʌn·dʒɑɪ, ˈfʌŋ·ɡɑɪ/",noun,any of various types of organisms that get their food from decaying material or other living things,Mushrooms and mould are fungi.,"bane, contamination, corruption, curse, dump"
alongside,/əˈlɔŋˌsɑɪd/,preposition,"C1 next to, or together with",A car pulled up alongside (ours).,"along, apace, at, beside, by"
distillation,/ˌdɪs·təˈleɪ·ʃən/,noun,"the process of making a liquid stronger or purer by heating it until it changes to a gas and then cooling it so that it changes back into a liquid, or a liquid made by this process",Usually the liquid is extracted by distillation.,"cleansing, refining"
fortified,/ˈfɔr·t̬əˌfɑɪd/,adjective,having healthful substances added,Children should not eat highly fortified cereals.,"armed, armored, bulwarked, buttressed, entrenched"
equilibrium,/ˌiːkwɪˈlɪbriəm/,noun,a state of balance,"The disease destroys much of the inner ear, disturbing the animal's equilibrium.","calm, cool, coolness, counterbalance, counterpoise"
stationary,/ˈsteɪ·ʃəˌner·i/,adjective,"not moving, or not changing",a stationary car/train,"anchored, at, inert, moored, nailed"
stationery,/ˈsteɪʃənəri/,noun,"the things needed for writing, such as paper, pens, pencils, and envelopes ",business/personal stationery,envelopes
daze,/deɪz/,noun,unable to think clearly,She was wandering around in a daze this morning.,"befuddlement, bewilderment, distraction, gauze, glaze"
superintendent,/ˌsuːpərɪnˈtendənt/,noun,"a person who is in charge of work done in a particular department, office, etc., or who is responsible for keeping a building or place in good condition","In the US, a school superintendent is in charge of the schools in a particular area.","boss, caretaker, conductor, foreperson, governor"
confine,/kənˈfɑɪn·mənt/,verb,"C2 [ T ] to limit an activity, person, or problem in some way","Let's confine our discussion to the matter in question, please!","bar, bind, bound, cage, circumscribe"
lurch,/lɜrtʃ/,verb,"[ I ] to move in a way that is not regular or normal, especially making sudden movements backwards or forwards or from side to side",The train lurched forward and some of the people standing fell over.,"blunder, dodge, duck, list, pitch"
tipsy,/ˈtɪp·si/,adjective,slightly drunk,Auntie Pat is getting a little tipsy again.,"drunk, drunken, fuddled, happy, high"
encapsulated,/ɪnˈkæp.sjə.leɪt/,verb,past simple and past participle of encapsulate ,It was very difficult to encapsulate the story of the revolution in a single one-hour documentary.,"enclosed, impacted, inserted, nested"
knead,/nid/,verb,"to press something, especially a mixture for making bread, firmly and repeatedly with the hands and fingers",Knead the dough until smooth.,"aerate, alter, blend, form, manipulate"
dread,/dred/,verb,C2 to feel extremely worried or frightened about something that is going to happen or that might happen,He's dreading the exam - he's sure he's going to fail.,"alarming, frightening, affright, alarm, aversion"
dough,/dəʊ/,noun,"[ C or U ] flour mixed with water and often yeast, fat, or sugar, so that it is ready for baking",bread dough,"beans, boodle, bucks, cash, change"
in bulk,,,C1 in large amounts,,"broad, bulk, complete, comprehensive, general"
wiggled,/ˈwɪɡ.əl/,verb,past simple and past participle of wiggle ,He tried wiggling the control stick but nothing happened.,"jerk, jiggle, shimmy, squirm, twist"
exert,/ɪɡˈzɜr·ʃən/,verb,"[ T ] to use something such as authority, power, influence, etc. in order to make something happen",If you were to exert your influence they might change their decision.,"dig, employ, endeavor, labor, plug"
proliferation,/prəˌlɪf.əˈreɪ.ʃən/,noun,the fact of something increasing a lot and suddenly in number or amount,The past two years have seen the proliferation of TV channels.,"generation, procreation, propagation, reproduction, expansion"
successors,/səkˈsesər/,noun,C1 someone or something that comes after another person or thing,"The university is seeking a successor to its vice chancellor, who retires this spring.","breed, brood, children, descendants, family"
merely,/ˈmɪər·li/,adverb,B2 used to emphasize that you mean exactly what you are saying and nothing more,"I wasn't complaining, I merely said that I was tired.",just
